"","symboling","normalized.losses","make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","length","width","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","stroke","compression.ratio","horsepower","peak.rpm","city.mpg","highway.mpg","price","price.range","make.continent"
"19",2,121,"chevrolet","gas","std","two","hatchback","fwd","front",88.4,141.1,60.3,53.2,1488,"l","three",61,"2bbl",2.91,3.03,9.5,48,5100,47,53,5151,"low","america"
"20",1,98,"chevrolet","gas","std","two","hatchback","fwd","front",94.5,155.9,63.6,52,1874,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6295,"low","america"
"21",0,81,"chevrolet","gas","std","four","sedan","fwd","front",94.5,158.8,63.6,52,1909,"ohc","four",90,"2bbl",3.03,3.11,9.6,70,5400,38,43,6575,"low","america"
"22",1,118,"dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.41,68,5500,37,41,5572,"low","america"
"23",1,118,"dodge","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1876,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6377,"low","america"
"24",1,118,"dodge","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"mpfi",3.03,3.39,7.6,102,5500,24,30,7957,"medium","america"
"25",1,148,"dodge","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,"low","america"
"26",1,148,"dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,"low","america"
"27",1,148,"dodge","gas","std","four","sedan","fwd","front",93.7,157.3,63.8,50.6,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,"low","america"
"29",-1,110,"dodge","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.34,3.46,8.5,88,5000,24,30,8921,"medium","america"
"30",3,145,"dodge","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2811,"ohc","four",156,"mfi",3.6,3.9,7,145,5000,19,24,12964,"medium","america"
"76",1,121.840490797546,"mercury","gas","turbo","two","hatchback","rwd","front",102.7,178.4,68,54.8,2910,"ohc","four",140,"mpfi",3.78,3.12,8,175,5000,19,24,16503,"high","america"
"119",1,119,"plymouth","gas","std","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,1918,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,37,41,5572,"low","america"
"120",1,119,"plymouth","gas","turbo","two","hatchback","fwd","front",93.7,157.3,63.8,50.8,2128,"ohc","four",98,"spdi",3.03,3.39,7.6,102,5500,24,30,7957,"medium","america"
"121",1,154,"plymouth","gas","std","four","hatchback","fwd","front",93.7,157.3,63.8,50.6,1967,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6229,"low","america"
"122",1,154,"plymouth","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,1989,"ohc","four",90,"2bbl",2.97,3.23,9.4,68,5500,31,38,6692,"low","america"
"123",1,154,"plymouth","gas","std","four","sedan","fwd","front",93.7,167.3,63.8,50.8,2191,"ohc","four",98,"2bbl",2.97,3.23,9.4,68,5500,31,38,7609,"low","america"
"124",-1,74,"plymouth","gas","std","four","wagon","fwd","front",103.3,174.6,64.6,59.8,2535,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,24,30,8921,"medium","america"
"125",3,121.840490797546,"plymouth","gas","turbo","two","hatchback","rwd","front",95.9,173.2,66.3,50.2,2818,"ohc","four",156,"spdi",3.59,3.86,7,145,5000,19,24,12764,"medium","america"
