"","symboling","normalized.losses","make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","length","width","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","stroke","compression.ratio","horsepower","peak.rpm","city.mpg","highway.mpg","price","price.range","make.continent"
"31",2,137,"honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1713,"ohc","four",92,"1bbl",2.91,3.41,9.6,58,4800,49,54,6479,"low","asia"
"32",2,137,"honda","gas","std","two","hatchback","fwd","front",86.6,144.6,63.9,50.8,1819,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,31,38,6855,"low","asia"
"33",1,101,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1837,"ohc","four",79,"1bbl",2.91,3.07,10.1,60,5500,38,42,5399,"low","asia"
"34",1,101,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1940,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,6529,"low","asia"
"35",1,101,"honda","gas","std","two","hatchback","fwd","front",93.7,150,64,52.6,1956,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7129,"low","asia"
"36",0,110,"honda","gas","std","four","sedan","fwd","front",96.5,163.4,64,54.5,2010,"ohc","four",92,"1bbl",2.91,3.41,9.2,76,6000,30,34,7295,"low","asia"
"37",0,78,"honda","gas","std","four","wagon","fwd","front",96.5,157.1,63.9,58.3,2024,"ohc","four",92,"1bbl",2.92,3.41,9.2,76,6000,30,34,7295,"low","asia"
"38",0,106,"honda","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2236,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,7895,"medium","asia"
"39",0,106,"honda","gas","std","two","hatchback","fwd","front",96.5,167.5,65.2,53.3,2289,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,9095,"medium","asia"
"40",0,85,"honda","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2304,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,8845,"medium","asia"
"41",0,85,"honda","gas","std","four","sedan","fwd","front",96.5,175.4,62.5,54.1,2372,"ohc","four",110,"1bbl",3.15,3.58,9,86,5800,27,33,10295,"medium","asia"
"42",0,85,"honda","gas","std","four","sedan","fwd","front",96.5,175.4,65.2,54.1,2465,"ohc","four",110,"mpfi",3.15,3.58,9,101,5800,24,28,12945,"medium","asia"
"43",1,107,"honda","gas","std","two","sedan","fwd","front",96.5,169.1,66,51,2293,"ohc","four",110,"2bbl",3.15,3.58,9.1,100,5500,25,31,10345,"medium","asia"
"44",0,121.840490797546,"isuzu","gas","std","four","sedan","rwd","front",94.3,170.7,61.8,53.5,2337,"ohc","four",111,"2bbl",3.31,3.23,8.5,78,4800,24,29,6785,"low","asia"
"47",2,121.840490797546,"isuzu","gas","std","two","hatchback","rwd","front",96,172.6,65.2,51.4,2734,"ohc","four",119,"spfi",3.43,3.23,9.2,90,5000,24,29,11048,"medium","asia"
"51",1,104,"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1890,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,30,31,5195,"low","asia"
"52",1,104,"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1900,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6095,"low","asia"
"53",1,104,"mazda","gas","std","two","hatchback","fwd","front",93.1,159.1,64.2,54.1,1905,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6795,"low","asia"
"54",1,113,"mazda","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1945,"ohc","four",91,"2bbl",3.03,3.15,9,68,5000,31,38,6695,"low","asia"
"55",1,113,"mazda","gas","std","four","sedan","fwd","front",93.1,166.8,64.2,54.1,1950,"ohc","four",91,"2bbl",3.08,3.15,9,68,5000,31,38,7395,"low","asia"
"56",3,150,"mazda","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33062176165803,3.24886010362694,9.4,101,6000,17,23,10945,"medium","asia"
"57",3,150,"mazda","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2380,"rotor","two",70,"4bbl",3.33062176165803,3.24886010362694,9.4,101,6000,17,23,11845,"medium","asia"
"58",3,150,"mazda","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2385,"rotor","two",70,"4bbl",3.33062176165803,3.24886010362694,9.4,101,6000,17,23,13645,"medium","asia"
"59",3,150,"mazda","gas","std","two","hatchback","rwd","front",95.3,169,65.7,49.6,2500,"rotor","two",80,"mpfi",3.33062176165803,3.24886010362694,9.4,135,6000,16,23,15645,"medium","asia"
"60",1,129,"mazda","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8845,"medium","asia"
"61",0,115,"mazda","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,8495,"medium","asia"
"62",1,129,"mazda","gas","std","two","hatchback","fwd","front",98.8,177.8,66.5,53.7,2385,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10595,"medium","asia"
"63",0,115,"mazda","gas","std","four","sedan","fwd","front",98.8,177.8,66.5,55.5,2410,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,10245,"medium","asia"
"65",0,115,"mazda","gas","std","four","hatchback","fwd","front",98.8,177.8,66.5,55.5,2425,"ohc","four",122,"2bbl",3.39,3.39,8.6,84,4800,26,32,11245,"medium","asia"
"66",0,118,"mazda","gas","std","four","sedan","rwd","front",104.9,175,66.1,54.4,2670,"ohc","four",140,"mpfi",3.76,3.16,8,120,5000,19,27,18280,"high","asia"
"77",2,161,"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1918,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,37,41,5389,"low","asia"
"78",2,161,"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,1944,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6189,"low","asia"
"79",2,161,"mitsubishi","gas","std","two","hatchback","fwd","front",93.7,157.3,64.4,50.8,2004,"ohc","four",92,"2bbl",2.97,3.23,9.4,68,5500,31,38,6669,"low","asia"
"80",1,161,"mitsubishi","gas","turbo","two","hatchback","fwd","front",93,157.3,63.8,50.8,2145,"ohc","four",98,"spdi",3.03,3.39,7.6,102,5500,24,30,7689,"low","asia"
"81",3,153,"mitsubishi","gas","turbo","two","hatchback","fwd","front",96.3,173,65.4,49.4,2370,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9959,"medium","asia"
"82",3,153,"mitsubishi","gas","std","two","hatchback","fwd","front",96.3,173,65.4,49.4,2328,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8499,"medium","asia"
"83",3,121.840490797546,"mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2833,"ohc","four",156,"spdi",3.58,3.86,7,145,5000,19,24,12629,"medium","asia"
"84",3,121.840490797546,"mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2921,"ohc","four",156,"spdi",3.59,3.86,7,145,5000,19,24,14869,"medium","asia"
"85",3,121.840490797546,"mitsubishi","gas","turbo","two","hatchback","fwd","front",95.9,173.2,66.3,50.2,2926,"ohc","four",156,"spdi",3.59,3.86,7,145,5000,19,24,14489,"medium","asia"
"86",1,125,"mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2365,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,6989,"low","asia"
"87",1,125,"mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2405,"ohc","four",122,"2bbl",3.35,3.46,8.5,88,5000,25,32,8189,"medium","asia"
"88",1,125,"mitsubishi","gas","turbo","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9279,"medium","asia"
"89",-1,137,"mitsubishi","gas","std","four","sedan","fwd","front",96.3,172.4,65.4,51.6,2403,"ohc","four",110,"spdi",3.17,3.46,7.5,116,5500,23,30,9279,"medium","asia"
"90",1,128,"nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1889,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,5499,"low","asia"
"92",1,128,"nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1918,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,6649,"low","asia"
"93",1,122,"nissan","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1938,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,6849,"low","asia"
"94",1,103,"nissan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2024,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7349,"low","asia"
"95",1,128,"nissan","gas","std","two","sedan","fwd","front",94.5,165.3,63.8,54.5,1951,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7299,"low","asia"
"96",1,128,"nissan","gas","std","two","hatchback","fwd","front",94.5,165.6,63.8,53.3,2028,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7799,"medium","asia"
"97",1,122,"nissan","gas","std","four","sedan","fwd","front",94.5,165.3,63.8,54.5,1971,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7499,"low","asia"
"98",1,103,"nissan","gas","std","four","wagon","fwd","front",94.5,170.2,63.8,53.5,2037,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,7999,"medium","asia"
"99",2,168,"nissan","gas","std","two","hardtop","fwd","front",95.1,162.4,63.8,53.3,2008,"ohc","four",97,"2bbl",3.15,3.29,9.4,69,5200,31,37,8249,"medium","asia"
"100",0,106,"nissan","gas","std","four","hatchback","fwd","front",97.2,173.4,65.2,54.7,2324,"ohc","four",120,"2bbl",3.33,3.47,8.5,97,5200,27,34,8949,"medium","asia"
"101",0,106,"nissan","gas","std","four","sedan","fwd","front",97.2,173.4,65.2,54.7,2302,"ohc","four",120,"2bbl",3.33,3.47,8.5,97,5200,27,34,9549,"medium","asia"
"102",0,128,"nissan","gas","std","four","sedan","fwd","front",100.4,181.7,66.5,55.1,3095,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,22,13499,"medium","asia"
"103",0,108,"nissan","gas","std","four","wagon","fwd","front",100.4,184.6,66.5,56.1,3296,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,17,22,14399,"medium","asia"
"104",0,108,"nissan","gas","std","four","sedan","fwd","front",100.4,184.6,66.5,55.1,3060,"ohcv","six",181,"mpfi",3.43,3.27,9,152,5200,19,25,13499,"medium","asia"
"105",3,194,"nissan","gas","std","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3071,"ohcv","six",181,"mpfi",3.43,3.27,9,160,5200,19,25,17199,"high","asia"
"106",3,194,"nissan","gas","turbo","two","hatchback","rwd","front",91.3,170.7,67.9,49.7,3139,"ohcv","six",181,"mpfi",3.43,3.27,7.8,200,5200,17,23,19699,"high","asia"
