"","symboling","normalized.losses","make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","wheel.base","length","width","height","curb.weight","engine.type","num.of.cylinders","engine.size","fuel.system","bore","stroke","compression.ratio","horsepower","peak.rpm","city.mpg","highway.mpg","price","price.range","make.continent"
"1",3,121.840490797546,"alfa-romero","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,13495,"medium","europe"
"2",3,121.840490797546,"alfa-romero","gas","std","two","convertible","rwd","front",88.6,168.8,64.1,48.8,2548,"dohc","four",130,"mpfi",3.47,2.68,9,111,5000,21,27,16500,"medium","europe"
"3",1,121.840490797546,"alfa-romero","gas","std","two","hatchback","rwd","front",94.5,171.2,65.5,52.4,2823,"ohcv","six",152,"mpfi",2.68,3.47,9,154,5000,19,26,16500,"medium","europe"
"4",2,164,"audi","gas","std","four","sedan","fwd","front",99.8,176.6,66.2,54.3,2337,"ohc","four",109,"mpfi",3.19,3.4,10,102,5500,24,30,13950,"medium","europe"
"5",2,164,"audi","gas","std","four","sedan","4wd","front",99.4,176.6,66.4,54.3,2824,"ohc","five",136,"mpfi",3.19,3.4,8,115,5500,18,22,17450,"high","europe"
"6",2,121.840490797546,"audi","gas","std","two","sedan","fwd","front",99.8,177.3,66.3,53.1,2507,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,15250,"medium","europe"
"7",1,158,"audi","gas","std","four","sedan","fwd","front",105.8,192.7,71.4,55.7,2844,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,17710,"high","europe"
"8",1,121.840490797546,"audi","gas","std","four","wagon","fwd","front",105.8,192.7,71.4,55.7,2954,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,25,18920,"high","europe"
"9",1,158,"audi","gas","turbo","four","sedan","fwd","front",105.8,192.7,71.4,55.9,3086,"ohc","five",131,"mpfi",3.13,3.4,8.3,140,5500,17,20,23875,"high","europe"
"11",2,192,"bmw","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16430,"medium","europe"
"12",0,192,"bmw","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2395,"ohc","four",108,"mpfi",3.5,2.8,8.8,101,5800,23,29,16925,"high","europe"
"13",0,188,"bmw","gas","std","two","sedan","rwd","front",101.2,176.8,64.8,54.3,2710,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,20970,"high","europe"
"14",0,188,"bmw","gas","std","four","sedan","rwd","front",101.2,176.8,64.8,54.3,2765,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,21,28,21105,"high","europe"
"15",1,121.840490797546,"bmw","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3055,"ohc","six",164,"mpfi",3.31,3.19,9,121,4250,20,25,24565,"high","europe"
"16",0,121.840490797546,"bmw","gas","std","four","sedan","rwd","front",103.5,189,66.9,55.7,3230,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,16,22,30760,"high","europe"
"17",0,121.840490797546,"bmw","gas","std","two","sedan","rwd","front",103.5,193.8,67.9,53.7,3380,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,16,22,41315,"high","europe"
"18",0,121.840490797546,"bmw","gas","std","four","sedan","rwd","front",110,197,70.9,56.3,3505,"ohc","six",209,"mpfi",3.62,3.39,8,182,5400,15,20,36880,"high","europe"
"48",0,145,"jaguar","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","six",258,"mpfi",3.63,4.17,8.1,176,4750,15,19,32250,"high","europe"
"49",0,121.840490797546,"jaguar","gas","std","four","sedan","rwd","front",113,199.6,69.6,52.8,4066,"dohc","six",258,"mpfi",3.63,4.17,8.1,176,4750,15,19,35550,"high","europe"
"50",0,121.840490797546,"jaguar","gas","std","two","sedan","rwd","front",102,191.7,70.6,47.8,3950,"ohcv","twelve",326,"mpfi",3.54,2.76,11.5,262,5000,13,17,36000,"high","europe"
"72",-1,121.840490797546,"mercedes-benz","gas","std","four","sedan","rwd","front",115.6,202.6,71.7,56.5,3740,"ohcv","eight",234,"mpfi",3.46,3.1,8.3,155,4750,16,18,34184,"high","europe"
"73",3,142,"mercedes-benz","gas","std","two","convertible","rwd","front",96.6,180.3,70.5,50.8,3685,"ohcv","eight",234,"mpfi",3.46,3.1,8.3,155,4750,16,18,35056,"high","europe"
"74",0,121.840490797546,"mercedes-benz","gas","std","four","sedan","rwd","front",120.9,208.1,71.7,56.7,3900,"ohcv","eight",308,"mpfi",3.8,3.35,8,184,4500,14,16,40960,"high","europe"
"75",1,121.840490797546,"mercedes-benz","gas","std","two","hardtop","rwd","front",112,199.2,72,55.4,3715,"ohcv","eight",304,"mpfi",3.8,3.35,8,184,4500,14,16,45400,"high","europe"
"108",0,161,"peugot","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3020,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,11900,"medium","europe"
"110",0,121.840490797546,"peugot","gas","std","four","wagon","rwd","front",114.2,198.9,68.4,58.7,3230,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,12440,"medium","europe"
"112",0,161,"peugot","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",120,"mpfi",3.46,2.19,8.4,95,5000,19,24,15580,"medium","europe"
"114",0,121.840490797546,"peugot","gas","std","four","wagon","rwd","front",114.2,198.9,68.4,56.7,3285,"l","four",120,"mpfi",3.46,2.19,8.4,95,5000,19,24,16695,"high","europe"
"116",0,161,"peugot","gas","std","four","sedan","rwd","front",107.9,186.7,68.4,56.7,3075,"l","four",120,"mpfi",3.46,3.19,8.4,97,5000,19,24,16630,"high","europe"
"118",0,161,"peugot","gas","turbo","four","sedan","rwd","front",108,186.7,68.3,56,3130,"l","four",134,"mpfi",3.61,3.21,7,142,5600,18,24,18150,"high","europe"
"126",3,186,"porsche","gas","std","two","hatchback","rwd","front",94.5,168.9,68.3,50.2,2778,"ohc","four",151,"mpfi",3.94,3.11,9.5,143,5500,19,27,22018,"high","europe"
"127",3,121.840490797546,"porsche","gas","std","two","hardtop","rwd","rear",89.5,168.9,65,51.6,2756,"ohcf","six",194,"mpfi",3.74,2.9,9.5,207,5900,17,25,32528,"high","europe"
"128",3,121.840490797546,"porsche","gas","std","two","hardtop","rwd","rear",89.5,168.9,65,51.6,2756,"ohcf","six",194,"mpfi",3.74,2.9,9.5,207,5900,17,25,34028,"high","europe"
"129",3,121.840490797546,"porsche","gas","std","two","convertible","rwd","rear",89.5,168.9,65,51.6,2800,"ohcf","six",194,"mpfi",3.74,2.9,9.5,207,5900,17,25,37028,"high","europe"
"133",3,150,"saab","gas","std","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2658,"ohc","four",121,"mpfi",3.54,3.07,9.31,110,5250,21,28,11850,"medium","europe"
"134",2,104,"saab","gas","std","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2695,"ohc","four",121,"mpfi",3.54,3.07,9.3,110,5250,21,28,12170,"medium","europe"
"135",3,150,"saab","gas","std","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2707,"ohc","four",121,"mpfi",2.54,2.07,9.3,110,5250,21,28,15040,"medium","europe"
"136",2,104,"saab","gas","std","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2758,"ohc","four",121,"mpfi",3.54,3.07,9.3,110,5250,21,28,15510,"medium","europe"
"137",3,150,"saab","gas","turbo","two","hatchback","fwd","front",99.1,186.6,66.5,56.1,2808,"dohc","four",121,"mpfi",3.54,3.07,9,160,5500,19,26,18150,"high","europe"
"138",2,104,"saab","gas","turbo","four","sedan","fwd","front",99.1,186.6,66.5,56.1,2847,"dohc","four",121,"mpfi",3.54,3.07,9,160,5500,19,26,18620,"high","europe"
"184",2,122,"volkswagen","gas","std","two","sedan","fwd","front",97.3,171.7,65.5,55.7,2209,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,7975,"medium","europe"
"186",2,94,"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2212,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,8195,"medium","europe"
"187",2,94,"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2275,"ohc","four",109,"mpfi",3.19,3.4,9,85,5250,27,34,8495,"medium","europe"
"189",2,94,"volkswagen","gas","std","four","sedan","fwd","front",97.3,171.7,65.5,55.7,2300,"ohc","four",109,"mpfi",3.19,3.4,10,100,5500,26,32,9995,"medium","europe"
"190",3,121.840490797546,"volkswagen","gas","std","two","convertible","fwd","front",94.5,159.3,64.2,55.6,2254,"ohc","four",109,"mpfi",3.19,3.4,8.5,90,5500,24,29,11595,"medium","europe"
"191",3,256,"volkswagen","gas","std","two","hatchback","fwd","front",94.5,165.7,64,51.4,2221,"ohc","four",109,"mpfi",3.19,3.4,8.5,90,5500,24,29,9980,"medium","europe"
"192",0,121.840490797546,"volkswagen","gas","std","four","sedan","fwd","front",100.4,180.2,66.9,55.1,2661,"ohc","five",136,"mpfi",3.19,3.4,8.5,110,5500,19,24,13295,"medium","europe"
"194",0,121.840490797546,"volkswagen","gas","std","four","wagon","fwd","front",100.4,183.1,66.9,55.1,2563,"ohc","four",109,"mpfi",3.19,3.4,9,88,5500,25,31,12290,"medium","europe"
"195",-2,103,"volvo","gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2912,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,12940,"medium","europe"
"196",-1,74,"volvo","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3034,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,13415,"medium","europe"
"197",-2,103,"volvo","gas","std","four","sedan","rwd","front",104.3,188.8,67.2,56.2,2935,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,28,15985,"medium","europe"
"198",-1,74,"volvo","gas","std","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3042,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,24,28,16515,"high","europe"
"199",-2,103,"volvo","gas","turbo","four","sedan","rwd","front",104.3,188.8,67.2,56.2,3045,"ohc","four",130,"mpfi",3.62,3.15,7.5,162,5100,17,22,18420,"high","europe"
"200",-1,74,"volvo","gas","turbo","four","wagon","rwd","front",104.3,188.8,67.2,57.5,3157,"ohc","four",130,"mpfi",3.62,3.15,7.5,162,5100,17,22,18950,"high","europe"
"201",-1,95,"volvo","gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,2952,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,23,28,16845,"high","europe"
"202",-1,95,"volvo","gas","turbo","four","sedan","rwd","front",109.1,188.8,68.8,55.5,3049,"ohc","four",141,"mpfi",3.78,3.15,8.7,160,5300,19,25,19045,"high","europe"
"203",-1,95,"volvo","gas","std","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3012,"ohcv","six",173,"mpfi",3.58,2.87,8.8,134,5500,18,23,21485,"high","europe"
"205",-1,95,"volvo","gas","turbo","four","sedan","rwd","front",109.1,188.8,68.9,55.5,3062,"ohc","four",141,"mpfi",3.78,3.15,9.5,114,5400,19,25,22625,"high","europe"
